id,username,content,answer,explanation,difficulty
1,卯月先輩,"じゃあこれどう？💡
1日だけで5万円のバイト✨
即日現金手渡しで、身分証とかいらないよ！",×,高額・即日・身分証不要は闇バイトの典型。信頼できる人からでも疑おう。,easy
2,明日香ちゃん,"うちのバイト先、カフェだけど超ゆるいよ☕️
週2からOKで制服かわいいし✨",〇,一般的なカフェバイト。条件や場所が具体的で安心。,easy
3,タケル,"紹介するよ👍
スマホだけでできるやつで、登録したらすぐ3万円もらえるらしい📱💰",×,“登録だけで報酬”は詐欺的手口。簡単すぎる話には裏がある。,easy
4,さくら先輩,"駅前のスーパー、レジのバイト募集してたよ〜！🛒
履歴書だけ持って行けばOKだって✨",〇,具体的な店舗・履歴書持参＝実在する安心な求人。,easy
5,健太,"バレない副業って知ってる？😎
詳細はLINEの別グループで教えるから入ってみて〜",×,“バレない”“別グループで詳細”は闇バイトの典型例。,easy
6,なお,"うちの親戚の店で人足りてないんだって！
居酒屋でホールの手伝い〜🍻
時給1000円くらい！",〇,身元がはっきりしており、業務も明確で安心。,easy
7,リョウ,"内容は言えないけどマジで稼げる🔥
3時間で4万円とかいける！",×,仕事内容不明・高額報酬は典型的な闇バイトのサイン。,easy
8,ミナ,"コンビニの深夜バイト空いてるって！🌙
防犯カメラあるし、安心らしいよ〜📹",〇,内容・条件ともに現実的で、安全性も考慮されている。,easy
9,ユウト先輩,"身分証とかいらないし、顔出しもナシで大丈夫👌
マジで“誰でも”できるから試してみて！",×,“誰でもOK”“顔出し不要”“身分証不要”は高リスク要素。,easy
10,あかり,"近くのパン屋さんでバイト募集してたよ〜🍞
面接あるけど、未経験でもOKって書いてた✨",〇,業務・条件が具体的で、一般的な求人。安全。,easy
11,涼介先輩,"とりまこれやってみ？🔥
内容は秘密だけど、3時間で3万いけるっぽい💰
オレもやってる😎",×,“内容は秘密”＋“高額報酬”は典型的な闇バイトの特徴。,easy
12,ユイ,"高校のときのバイト先、また募集してたよ〜🌟
お弁当屋さんでめっちゃまかない美味しいらしい！🍱",〇,実在の店舗・内容も具体的で信頼できる。,easy
13,ショウ,"顔出しナシ🙅‍♂️
誰にもバレずにできる仕事あるけど、やってみる？💸",×,“バレずにできる”＝身バレ防止＝犯罪関与の可能性大。,easy
14,れいな,"カラオケのバイト始めたんだ〜🎤
夕方だけだし、けっこう楽しいよ✨",〇,業種も勤務時間も明確で、一般的な求人内容。,easy
15,ナオト,"絶対言わないって約束できる？🤫
マジで稼げるやつ紹介するから",×,“秘密厳守”で誘うものは、高確率で違法性がある。,easy
16,まなみ,"アパレルのバイトまた受けてみたら？👗
駅ビルに入ってるショップ、面接受けてきたよ！",〇,店舗・業種・応募状況が具体的で、安全。,easy
17,シン,"日払いで即現金💴
しかも顔出しナシ👌
登録だけでOKらしい！",×,“即現金”“登録だけ” “顔出し不要”の三点セットは要注意。,easy
18,ひかる,"近所の本屋、バイト募集してた📚
週3くらいでいいって！",〇,ローカルで具体的な内容。安全な求人。,easy
19,まこと先輩,"身分証とか一切いらないし、連絡手段もLINEだけでOK📱
マジでやってみた方がいいって！",×,“身分証不要・連絡手段限定”は典型的な闇バイト誘導。,easy
20,りな,"うちの妹の塾、バイト募集してるって！
子ども好きならいいかも〜📖",〇,紹介元がはっきりしていて、内容も健全。,easy
21,さとし,"“中身は言えないけど”…  
オレも昨日やったんだけどさ、  
マジで一晩で4万💸",×,“中身は言えない”＋“高額短時間”＝闇バイトの鉄板ワード。,easy
22,ななみ,"近所のケーキ屋さん🎂  
高校生もOKで、面接優しめだって！",〇,地域密着・条件明示で安心して応募できる内容。,easy
23,こうじ,"手渡しバイトなんだけど、履歴書いらないし、すぐ終わるやつ😏  
LINEグループ入れれば紹介するよ！",×,“履歴書不要”“手渡し”＋“グループ招待”は典型的な闇バイト誘導。,easy
24,まゆ,"うちの親の知り合いの雑貨屋さんでバイト募集してるよ🧸  
レジ打ちとかちょっとした接客らしい！",〇,知人経由で業務内容も明確。信頼できる案件。,easy
25,しょうこ,"絶対バレないバイトってあるんだって🤐  
とりまやってみなよ！",×,“絶対バレない”というワードは、違法性を疑うべきサイン。,easy
26,れん,"引っ越し手伝いバイトあったけどどう？📦  
時給1500円で力仕事多めだけど",〇,引っ越し系の高時給はありえる範囲。内容明確でOK。,easy
27,かおり,"ねえ、これとかどう？💬  
内容ふわっとしてるけど、  
即金らしいよ〜",×,“内容ふわっとしてるけど即金”は危険な条件。,easy
28,しゅうへい,"焼肉屋で人足りないってさ！🥩  
ホール希望ならすぐ連絡してみ？",〇,店舗・業務が具体的で、通常のバイトとして問題なし。,easy
29,えり,"ちょっと怪しいかもだけど…  
登録するだけで1万円ってやつ見つけた💡",×,“登録だけで1万円”は詐欺の典型。十分警戒すべき。,easy
30,つばさ,"ゲームのバグ探すバイトってのがあるらしいよ🎮  
時給は低めだけど、在宅可だって〜",〇,“在宅＋低時給”はリアルな副業。内容も安全。,easy
31,あやね,"即日で5万欲しいって言ってたよね？💸  
やばいけど、ワンチャンありそうなやつあるよ😏",×,“やばいけどワンチャン”という曖昧な誘いは高リスク案件の可能性が高い。,easy
32,まさと,"お祭りの屋台でバイト募集してた！🎇  
短期だけど、けっこう時給いいらしいよ〜",〇,内容が具体的で季節性もあり、一般的なバイト。,easy
33,のぞみ,"登録だけでOKらしいよ✨  
スマホで完結するし、すぐ振り込まれるんだって！📲",×,“スマホで完結”＋“すぐ振込”は詐欺や闇バイトの常套句。,easy
34,ひろと,"ねえ、あのWeb会社まだ人募集してるって💻  
ポートフォリオ持ってるならチャンスじゃん？",〇,職種・スキルも必要な健全な求人の可能性が高い。,easy
35,ゆり,"深夜バイトで交通費全額＋手渡し  
しかも仕事内容書いてなかった…どう思う？",×,“仕事内容不明”＋“手渡し”は非常に危険な組み合わせ。,easy
36,たくみ,"うちの学校の近くの古本屋📚  
静かでのんびりしてるからおすすめ〜",〇,内容・場所ともに具体的で、健全なアルバイト。,easy
37,ひな,"“お金困ってるなら紹介するよ”ってDM来てた😰  
やばそうだよね…？",×,SNS経由の怪しいDMは典型的な勧誘パターン。,easy
38,はるき,"農業体験バイトどう？🌾  
朝早いけど、自然好きなら楽しそう〜",〇,体験系・内容明示で、安全なアルバイト形式。,easy
39,ちか,"友達の友達がやってるらしいんだけど  
“商品を運ぶだけで3万”ってやつ😶",×,運搬系の闇バイトは犯罪に関わる可能性が高い。要注意。,easy
40,しゅんすけ,"動画見るだけで稼げるバイトあるらしいぞ！？📹  
1日1時間だけでOKって言ってた",×,“動画見るだけ”系は詐欺または情報商材系の可能性大。,easy
41,さえ,"学校近くの定食屋さん🍚  
昼間のバイトなら募集まだしてたと思う！",〇,飲食バイトで内容明確、実在性も高くて安全。,easy
42,ゆうと,"作業内容は聞いてからだけど、  
“普通じゃない系”って言われた🤐  
でも5万即日らしい",×,“普通じゃない”時点で危険。即金高額との併用でアウト。,easy
43,みお,"駅前のカフェ、リニューアルでバイト再募集してるって☕️  
週3でOKみたい！",〇,募集理由も明確で信頼できる内容。,easy
44,ともや,"マジで“何も聞かずに動ける人”向けの案件らしい  
そういうのって稼げるんだろうなあ😅",×,詳細不明・“指示通り動け”系は危険度が非常に高い。,easy
45,あい,"地元の花屋さんで短期募集🌸  
配達の手伝いとか梱包らしい！",〇,地域密着・仕事内容明確で安心なバイト。,easy
46,けいご,"登録料だけでOKらしい！  
口座作るだけで5,000円もらえるって話😮",×,登録料を要求される系は詐欺の可能性が極めて高い。,easy
47,りこ,"演劇部の後輩がコンビニ始めたって〜！🏪  
夜勤らしいけど、割と融通きくらしいよ！",〇,実在人物・実在店の情報つきで信頼性あり。,easy
48,なおや,"“この内容、誰にも言わないでね？”って最初に言われた  
気になるけど怖いわ…",×,“口外禁止”を強調する時点で違法性が疑われる。,easy
49,まき,"近所の保育園でお掃除のバイトやってるって🧽  
ちょっとした清掃だけみたい！",〇,施設・業務内容が具体的で安全な軽作業。,easy
50,だいち,"身分証も履歴書もいらないって神じゃん！？😎  
絶対バレないって言ってたし！",×,“身分証不要＋絶対バレない”＝アウト。闇バイトの王道パターン。,easy
51,あきら,"ねえねえ、今日だけで3万稼げるやつ見つけたんだけど💦  
でも内容ちょっと秘密っぽい…どう思う？",×,内容不明・高額報酬・秘密扱い＝典型的な闇バイト。,hard
52,さやか,"週末だけカフェバイト募集してる☕️  
面接あるし、未経験でも大丈夫みたい！やる？",〇,面接あり・条件明確・安全な一般求人。,hard
53,たかし,"スマホで簡単に登録するだけで1万もらえるらしい💰  
でもちょっと怪しい気もする…",×,登録だけ報酬・短時間高額＝危険案件。,hard
54,みほ,"駅前の居酒屋バイト見つけたよ🍻  
履歴書持って行けばOKだって✨",〇,応募ルート明確・報酬妥当・安全。,hard
55,りょう,"誰でもOK・匿名で日給4万💥  
LINEで詳細送るってさ😏",×,匿名・高額・LINE誘導＝典型的闇バイト。,hard
56,なお,"スーパー夜勤募集してる🛒  
週2からOKだって。面接もあるし安心そう！",〇,面接あり・報酬妥当・安全。,hard
57,まい,"今日だけ短期で稼げるらしい💸  
内容は秘密なんだって…やる？",×,仕事内容不明・短期高額＝危険。,hard
58,けん,"ねえねえ、カフェ週3バイトなんだけど制服かわいいし楽しいかも☕️",〇,応募方法明確・報酬普通・安全。,hard
59,ゆう,"登録だけで日給3万💥  
LINEで案内するらしいんだけど…どうする？",×,登録だけ・高額報酬・LINE誘導＝危険。,hard
60,あや,"パン屋で募集してる🍞  
面接あるし未経験OKって書いてあったよ！やってみる？",〇,応募ルート明確・報酬妥当・安全。,hard
61,ひかる,"ねえねえ、今日だけで5万いけるやつ見つけた💦  
でも内容は秘密らしい…やる？",×,仕事内容不明・短時間高額＝典型的な闇バイト。,hard
62,さとる,"週末だけの居酒屋バイト募集してるよ🍺  
面接あるし、未経験OKだって。安心そう！",〇,面接あり・業務明確・一般的な求人。,hard
63,みく,"登録するだけで報酬もらえるやつあるって💰  
でもちょっと怪しい…",×,登録だけで報酬＝詐欺や闇バイトの典型。,hard
64,ゆうた,"駅前のカフェバイト見つけた☕️  
週2〜OK、面接あり。やる？",〇,応募ルート明確・報酬妥当・安全。,hard
65,まな,"誰でもOK・日給4万💥  
LINEで詳しく教えるってさ😏",×,匿名・高額・LINE誘導＝危険な闇バイト。,hard
66,りな,"スーパー夜勤募集してる🛒  
週3〜OKだって。面接もあるし安心かも！",〇,面接あり・業務明確・一般的な求人。,hard
67,たくみ,"今日だけ短期で稼げる案件あるらしい💸  
内容は秘密なんだって…やる？",×,仕事内容不明・短期高額＝危険。,hard
68,あや,"カフェ週3バイト募集してる☕️  
制服かわいいし、楽しいかも！",〇,応募ルート明確・報酬妥当・安全。,hard
69,しん,"登録だけで日給3万💥  
LINEで案内するって言われた…どうする？",×,登録だけ・高額報酬・LINE誘導＝危険。,hard
70,みお,"パン屋バイト募集してる🍞  
面接あるし未経験OKって書いてあるよ。やってみる？",〇,応募ルート明確・報酬妥当・安全。,hard
71,ゆう,"ねえ、これってどう思う？💦  
1日だけで5万稼げるやつ…でも内容秘密だって",×,内容不明・短期高額＝典型的な闇バイト。,hard
72,さくら,"居酒屋週末バイト、募集してるって🍺  
面接あるし安心そう！",〇,面接あり・業務明確・一般的な求人。,hard
73,こうた,"スマホで登録するだけで1万もらえるらしい💰  
でも怪しい気がする…",×,登録だけ報酬＝危険度高い。,hard
74,あき,"駅前のカフェでバイト募集☕️  
面接あり・週2〜OKで安心かも！",〇,応募ルート明確・報酬妥当・安全。,hard
75,けんた,"誰でもOK・日給4万💥  
LINEで詳細送るって…やばくない？",×,匿名・高額・LINE誘導＝典型的闇バイト。,hard
76,みなみ,"スーパー夜勤募集してる🛒  
週2〜OKだって、面接もあるし安全そう！",〇,面接あり・業務明確・一般的な求人。,hard
77,りょう,"今日だけ短期で稼げる案件ある💸  
でも内容秘密だって…どうする？",×,仕事内容不明・短期高額＝危険。,hard
78,はるか,"カフェ週3バイト、面接あるし制服かわいいし☕️  
やってみる？",〇,応募ルート明確・報酬妥当・安全。,hard
79,たけし,"登録だけで日給3万💥  
LINEで詳細送るらしい…やる？",×,登録だけ・高額・LINE誘導＝危険。,hard
80,あやね,"パン屋バイト募集してる🍞  
面接あるし未経験OK。安心そう！",〇,応募ルート明確・報酬妥当・安全。,hard
81,ゆう,"ねえねえ、今日だけで3万稼げるやつある💦  
でも秘密案件だって",×,内容不明・短時間高額＝典型的な闇バイト。,hard
82,さとみ,"居酒屋週末バイト募集してる🍺  
面接あるし、安心そうだよ！",〇,面接あり・業務明確・安全な一般求人。,hard
83,こうき,"スマホで登録するだけで1万もらえるらしい💰  
怪しくない？",×,登録だけ報酬＝危険案件。,hard
84,みゆ,"駅前のカフェバイト、面接あり・週2OKだって☕️  
やってみる？",〇,応募ルート明確・報酬妥当・安全。,hard
85,たかひろ,"誰でもOK・日給4万💥  
LINEで詳細送るらしい…やばい？",×,匿名・高額・LINE誘導＝危険なパターン。,hard
86,なおみ,"スーパー夜勤募集してる🛒  
週2〜OKで面接あり、安心そう！",〇,面接あり・業務明確・安全な求人。,hard
87,しおり,"今日だけ短期で稼げる案件ある💸  
内容秘密だって…どうする？",×,仕事内容不明・短期高額＝危険。,hard
88,ゆい,"カフェ週3バイト、制服かわいいし楽しいかも☕️",〇,応募ルート明確・報酬妥当・安全。,hard
89,こうへい,"登録だけで日給3万💥  
LINEで案内するらしい…やばくない？",×,登録だけ・高額・LINE誘導＝典型的闇バイト。,hard
90,まい,"パン屋バイト募集してる🍞  
面接あり・未経験OKだって。やる？",〇,応募ルート明確・報酬妥当・安全。,hard
91,たくみ,"ねえ、1日だけで5万稼げるやつある💦  
でも秘密扱いなんだって",×,内容不明・短時間高額＝典型的闇バイト。,hard
92,さや,"居酒屋週末バイト募集🍺  
面接あるし、安心そう！",〇,面接あり・業務明確・安全な求人。,hard
93,まこと,"スマホ登録するだけで1万💰  
怪しい気がする…",×,登録だけ報酬＝危険度高い。,hard
94,あや,"駅前カフェバイト、面接あり・週2OK☕️",〇,応募ルート明確・報酬妥当・安全。,hard
95,りょうた,"誰でもOK・日給4万💥  
LINEで詳細送るって…やばいよね？",×,匿名・高額・LINE誘導＝危険。,hard
96,ひな,"スーパー夜勤募集してる🛒  
面接あり・週2〜OK。安心！",〇,面接あり・業務明確・安全な求人。,hard
97,まゆ,"今日だけ短期で稼げる案件ある💸  
でも内容秘密…やる？",×,仕事内容不明・短期高額＝危険。,hard
98,さおり,"カフェ週3バイト、制服かわいいし楽しいかも☕️",〇,応募ルート明確・報酬妥当・安全。,hard
99,しゅう,"登録だけで日給3万💥  
LINEで案内するらしい…やばくない？",×,登録だけ・高額・LINE誘導＝危険。,hard
100,みき,"パン屋バイト募集してる🍞  
面接あり・未経験OK。安心だよ！",〇,応募ルート明確・報酬妥当・安全。,hard