id,username,handle,time_ago,content,hashtags,answer,explanation,difficulty
1,好評バイト案内📢,@baito_popular,1時間前,"週3日〜OK✨  
時給1200円💵  
履歴書不要🙅‍♂️だけど面接あり📝  
研修はLINEで実施📱  
応募はDMで受付中📩",#バイト #副業,×,履歴書不要でDM誘導が怪しい。ただし面接あり＆研修実施は信用材料。ただし研修がLINEという点で個人情報流出のリスクあり。,easy
2,みんなのカフェ☕️,@minnanocafe,2日前,"未経験歓迎😊  
時給1000円〜週2日〜OK📅  
応募は店頭か電話☎️で！  
LINEでも質問受付中📱",#カフェ #バイト,〇,応募は公式ルート。LINE質問対応は顧客対応として自然。安心できる募集。,easy
3,超短期爆稼ぎ速報💥,@super_cash_now,10分前,"3時間で2万円‼️  
履歴書不要🙅‍♂️  
面接あり📝  
即日現金手渡し🙌  
まずはDMで詳細！",#短期 #高収入,×,面接があるのはいいが、履歴書不要＆DM誘導＆即日現金は闇バイトの危険信号。,easy
4,イベントバイト募集中🎉,@event_baito,3日前,"時給1200円💰  
週末のみOK📅  
応募は電話☎️またはメール📧で。  
LINEでの質問も受付中📱",#イベント #バイト,〇,正規の応募方法で質問はLINE対応。安心できる募集。,easy
5,高収入副業速報💸,@highpay_baito,30分前,"月収50万円も夢じゃない！  
履歴書不要🙅‍♂️  
説明はLINEで。  
友達紹介ボーナスあり🎁",#副業 #高収入,×,高収入で履歴書不要、LINE説明はかなり危険。友達紹介ボーナスも闇バイトの罠。,easy
6,在宅ワーク紹介所🏠,@remote_work123,5時間前,"完全在宅OK✨  
時給1800円〜！  
履歴書なし🙅‍♀️  
面談はビデオ通話🎥  
LINEでやりとり📱",#在宅 #副業,×,在宅でも履歴書不要＆LINEやりとりは要注意。ビデオ通話ありはプラス材料だが、個人特定される恐れも。,easy
7,学生応援バイト🎓,@student_baito,1日前,"大学生歓迎📣  
週2〜OK✨  
交通費支給あり🚌  
研修あり📘  
応募はLINEのみ📱",#学生バイト #短期,×,LINEのみの応募は不透明で危険。条件は良いが、応募経路が公式でないためリスクあり。easy,easy
8,安全第一の軽作業🏗️,@anzen_baito,6時間前,"時給1100円〜💵  
週3〜OK📅  
面接あり📝  
応募は公式HPまたは電話☎️",#軽作業 #安全求人,〇,応募方法・条件が明確。公式サイトありで安全な募集。,easy
9,今だけ特別報酬💥,@tokubetsu_job,45分前,"特別時給2500円🔥  
完全日払い🙌  
履歴書なし🙅‍♂️  
応募はDMで！  
早い者勝ち⚠️",#特別バイト #副業,×,特別報酬・日払い・履歴書不要・DM応募は全て危険要素。,easy
10,カフェスタッフ急募☕️,@cafe_recruit,2日前,"未経験歓迎🌸  
時給1050円〜🕒  
交通費支給🚉  
研修あり📚  
応募はLINE or 電話で📱☎️",#カフェ求人 #学生歓迎,〇,LINE応募ありだが、電話も併用。研修あり・条件明確で安心なパターン。,easy
11,即金バイト速報🔥,@baito_express642,4時間前,"誰でも簡単📢  
週1〜OK📅  
夜だけバイト🌙  
即金対応🙌  
詳細はDMで📩",#副業 #即金,×,即金・DM応募・夜間作業など、闇バイトの特徴が揃っている。,easy
12,地元カフェ求人☕️,@cafe_local377,2日前,"学生歓迎🎓  
時給1100円〜✨  
週2〜OK📅  
応募は電話または公式サイト📞",#バイト募集 #店舗,〇,公式サイトや電話での応募、条件も常識的で問題ない。,easy
13,LINE限定副業📱,@line_only_work549,3時間前,"スマホで完結📱  
月収50万円⁉️  
履歴書・面接不要🙅‍♀️  
説明はLINEで👀",#副業 #即金,×,高収入、LINEのみ、面接なしの3点セットは要注意。,easy
14,飲食バイト案内🍽️,@dining_job276,1日前,"未経験歓迎🎉  
研修あり📚  
時給1050円〜✨  
応募は公式HPまたは電話で📞",#バイト募集 #店舗,〇,応募手段が明確で、研修もあり、安全な募集。,easy
15,誰でも高収入💸,@fastcash_work941,30分前,"日給4万円✨  
履歴書不要🙅‍♂️  
面接なし📭  
即日現金手渡し💸  
まずはLINEで📱",#副業 #即金,×,典型的な闇バイト：高報酬・即日払い・面接なし・LINE誘導。,easy
16,店舗スタッフ募集🛒,@tenpo_staff777,5時間前,"週3〜OK✨  
面接あり📝  
交通費支給🚌  
履歴書提出📄  
応募は店舗へ📍",#バイト募集 #店舗,〇,履歴書必須・面接ありで応募手段も明記、安全な条件。,easy
17,LINE副業連絡所📱,@linebiz_works410,6時間前,"在宅副業🏠  
高収入保証💸  
サポート体制バッチリ🛠️  
応募はLINE📱",#副業 #即金,×,LINEのみの応募で高収入保証は、信ぴょう性が低くリスク大。,easy
18,正規求人速報📋,@official_hire812,3日前,"ホールスタッフ募集🍽️  
週3〜OK！  
交通費支給あり🚌  
応募は公式HP📲",#バイト募集 #店舗,〇,応募経路が安全で、条件も一般的。信頼できる。,easy
19,超短期バイト情報📣,@shortjob_works224,1時間前,"1日3万円💥  
カンタン作業✨  
交通費支給🚃  
LINEで即応募📩",#副業 #即金,×,高日給・カンタン作業・LINE応募の組み合わせは警戒対象。,easy
20,公式バイト案内📢,@baito_info623,2日前,"面接あり📝  
制服貸与👔  
交通費全額支給🚎  
応募はWEB📱または電話☎️",#バイト募集 #店舗,〇,正規の応募ルートがあり、明確な条件。安全な案件。,easy
21,副業速報🧳,@sidejob_speed321,6時間前,"日払いOK💸  
初心者歓迎🙆‍♀️  
履歴書ナシ📄  
まずはDMまで📩",#副業 #即金,×,履歴書不要でDM誘導、日払いも組み合わせると闇バイトの可能性が高い。,easy
22,駅前カフェ☕️,@cafe_station848,2日前,"時給1050円〜✨  
週末のみOK📅  
面接あり📞  
応募は店頭で📍",#バイト募集 #カフェ,〇,一般的なバイト条件と応募方法で安心。,easy
23,スマホ副業ナビ📱,@smart_job654,45分前,"スマホだけでOK📱  
時給換算3000円💰  
履歴書・面接不要🙅‍♂️  
詳細はLINEで📲",#副業 #高収入,×,高すぎる時給とLINE応募・面接不要は典型的な危険サイン。,easy
24,スーパー店員募集🛒,@supermarket_job132,3時間前,"時給1050円、週2日〜OK  
未経験歓迎、研修あり  
応募は電話または店頭で受付中☎️",#バイト募集 #スーパー,〇,一般的なスーパーの求人。応募方法・内容ともに安全。,easy
25,副業インフォ💬,@sideinfo_job019,1日前,"初心者歓迎🎉  
サポートあり📘  
LINEで即収入📲  
詳細はDMで！",#副業 #即金,×,LINEとDM誘導、即収入という甘言は典型的な闇バイト手口。,easy
26,飲食バイト案内🍽️,@diningjob777,3時間前,"短期イベントスタッフ🎪  
週末のみOK！  
面接・研修あり📋",#短期バイト #イベント,〇,面接・研修ありの明記があり、安全な募集と考えられる。,easy
27,即金副業チャット💸,@quickcash_chat231,50分前,"スキマ時間で高収入✨  
完全在宅🏠  
即日報酬🎉  
履歴書不要🙅‍♂️  
LINEでサポート📱",#副業 #即金,×,在宅＆即金＆LINE連絡はリスクが高く、典型的な闇バイト構成。,easy
28,安心バイト紹介所📋,@safe_baito849,2日前,"時給1000円〜📣  
制服貸与👕  
履歴書必須📄  
応募は電話☎️",#バイト募集 #安心求人,〇,応募フローが明確で、信頼性が高いバイト募集。,easy
29,スマホ副業革命📱,@revo_work321,1時間前,"スマホだけで毎月30万円✨  
誰でもできる💥  
まずはLINEで📱",#副業 #スマホワーク,×,月30万は現実的でない。LINE誘導も危険。,easy
30,カフェ求人ナビ☕️,@cafenavi_042,4時間前,"ホール・キッチン同時募集🍽️  
時給1100円〜✨  
研修あり📘  
応募は店頭📍",#バイト募集 #カフェ,〇,募集内容が明瞭で、安全性が高い。,easy
31,LINE応募限定副業📱,@line_work238,30分前,"面接ナシ🙅‍♀️  
LINEで1日1万円GET📱  
サクッと稼ぎたい人限定🔥",#即金 #副業,×,LINEのみの応募で高額日収、面接なしは危険。,easy
32,配送スタッフ募集🚚,@hassou_job471,5時間前,"運転免許あればOK🚗  
時給1300円✨  
応募は公式HPまたは電話☎️",#バイト募集 #ドライバー,〇,一般的なドライバー求人。公式HP応募で安全。,easy
33,副業チャンス速報✨,@chance_baito103,2時間前,"副業始めるなら今‼️  
高報酬💰  
履歴書・面接不要🙅‍♂️  
LINEで即対応📱",#副業 #即金,×,典型的な闇バイトパターン。履歴書・面接不要かつLINE誘導は危険。,easy
34,飲食バイト特集🍜,@ramen_baito555,3日前,"ラーメン店スタッフ募集🍜  
時給1100円〜✨  
応募は店頭または電話で📞",#飲食店 #バイト募集,〇,よくある飲食店バイト。応募も公式ルートで安心。,easy
35,超短期爆稼ぎ💸,@short_bigmoney202,20分前,"未経験OK！  
日給3万円💥  
即日手渡し🙌  
DMで詳細📩",#短期 #即金,×,日給が高すぎ＆即日手渡し・DM連絡は警戒ポイント。,easy
36,ホテル清掃募集🧹,@hotel_cleanjob742,2日前,"時給1200円✨  
交通費全額支給🚃  
応募は電話☎️または公式HP📱",#清掃 #ホテル求人,〇,条件が標準的で応募経路も明確。安全。,easy
37,スマホ副業ナビ📱,@smartjobline998,1時間前,"月収40万円も可能⁉️  
完全在宅🏠  
履歴書なし🙅‍♂️  
LINEで今すぐ💨",#副業 #高収入,×,LINEで即応募・履歴書なしで高収入は典型的な闇バイト構成。,easy
38,地域密着スーパー🛒,@local_market442,3時間前,"時給1050円💰  
週2〜OK📅  
交通費あり🚎  
応募は店頭or電話☎️",#バイト募集 #地域求人,〇,地元店舗系で、条件・応募方法も安全そのもの。,easy
39,日払い副業特集💸,@nichibara_ok441,45分前,"即日入金📥  
誰でもOK🙆‍♂️  
LINEで1分登録📱  
簡単作業💻",#副業 #即金,×,簡単すぎる・即入金・LINE登録は危険なサイン。,easy
40,飲食求人ナビ🍴,@diningnav_334,2日前,"ホールスタッフ募集🍴  
時給1150円✨  
制服貸与👔  
応募は電話orWEB📞📱",#バイト募集 #飲食,〇,飲食業界の一般的な安全求人。応募方法も明記で安全。,easy
41,超ラク副業チャレンジ📲,@easy_money921,55分前,"スマホ操作だけ💡  
月収35万円📈  
履歴書ナシ📄  
LINEで今すぐ💬",#副業 #スマホワーク,×,“楽して稼げる”＋LINE連絡＋高収入は典型的な詐欺系の特徴。,easy
42,安心カフェバイト☕️,@safe_cafe222,2日前,"週2〜OK🎉  
未経験歓迎✨  
応募は店頭📍  
面接あり📞",#カフェ求人 #安全,〇,条件良好で応募方法も公式・信頼できる。,easy
43,副業革命プロジェクト💥,@project_job999,1時間前,"即金！即採用！  
履歴書・面接不要🙅‍♀️  
詳細はLINEで📱",#副業 #即金,×,即採用＋履歴書・面接なし＋LINE…この3点は完全アウト。,easy
44,コールセンター募集☎️,@calljob_888,4時間前,"時給1300円✨  
研修あり📚  
交通費支給🚍  
応募はWEB📱",#バイト募集 #コールセンター,〇,時給・研修・交通費など標準的な内容。応募も明瞭で安全。,easy
45,高収入バイト速報💸,@baito_info,5分前,"＼誰でもOK！／  
日給5万円・即日手渡し！  
履歴書不要、交通費全額支給✨  
友達との応募も歓迎🙆‍♀️  
詳細はDMで📩",#副業 #即金,×,日給5万円＆即日手渡し・履歴書不要・DM誘導は闇バイトの典型例。,easy
46,アパレル店員募集👗,@fashion_shopjob212,3日前,"時給1100円〜👚  
交通費支給🚌  
面接あり📋  
応募は公式サイトまたは電話📞",#バイト募集 #ファッション,〇,アパレル系の一般的な求人。応募方法・条件ともに安心。,easy
47,深夜限定副業🌙,@midnight_job315,6時間前,"深夜1回で2.5万円💸  
誰でもできる📢  
履歴書不要🙅‍♀️  
まずはLINE📱",#夜勤 #副業,×,高額＆夜間＆LINE＋履歴書不要は危険度MAX。,easy
48,地元飲食店求人🍽️,@local_diningjob678,2日前,"ホール＆キッチン募集中✨  
時給1050円〜📅  
面接あり📞  
応募は店頭📍",#飲食店 #バイト募集,〇,地元密着の安心求人。応募方法も明記されている。,easy
49,日払いバイト速報💥,@nichibara_now429,40分前,"3時間で1.8万円📈  
面接なし🙅‍♀️  
詳細はDM📩  
LINEですぐ案内📱",#副業 #短期,×,高額・短時間・DM・LINE連絡のセットは典型的な闇バイト構成。,easy
50,飲食店バイト特集🍜,@dininglist_999,3日前,"未経験歓迎🍴  
時給1100円✨  
交通費あり🚃  
応募は電話📞or店頭📍",#バイト募集 #安心,〇,飲食系で一般的な条件と応募形式。信頼できる。,easy
51,深夜限定高額副業🌙,@midnight_cash,1時間前,"深夜0時〜3時限定💤  
作業はスマホで完結📱  
報酬は1日3万円💸  
面接不要🙅‍♂️  
LINEで詳細案内📩","#副業 #夜勤",×,"夜間限定＋高額報酬＋LINEのみで面接なしは高リスク。安全か怪しいか迷う構成。",hard
52,在宅動画編集ワーク🎬,@home_editing,2日前,"完全在宅OK🏠  
動画編集スキル不要✨  
1本5000円💰  
応募はGoogleフォームのみ📝","#在宅 #副業",×,"報酬は現実的だが、フォームのみ応募は個人情報リスクあり。迷うライン。",hard
53,公式バイトだけど即金⚡,@official_fastpay,3時間前,"面接あり📝  
制服貸与👔  
日払い対応🙌  
応募は公式サイト📱","#バイト #即金",〇,"公式ルート＋面接ありで安心。ただし日払いは少し警戒要素も。",hard
54,短期イベントスタッフ🎉,@event_shortjob,1日前,"週末限定🌤  
時給1300円💵  
応募はLINEまたは電話📱☎️  
研修あり📘","#短期 #イベント",〇,"公式ルートありで安全。ただしLINE応募も併用。",hard
55,超高額アンケート💸,@survey_cash,30分前,"アンケート答えるだけで1件5000円💰  
完全オンライン📱  
面接なし🙅‍♀️","#副業 #在宅",×,"高額＋面接なしは典型的な怪しい案件。ただし在宅でオンライン完結なので迷う。",hard
56,短期物流スタッフ🚚,@logistics_quick,5時間前,"倉庫作業💪  
週2日〜OK📅  
時給1200円💵  
応募は電話または公式サイト☎️","#短期 #物流",〇,"公式サイト応募で安全。ただし短期・週2日で迷う可能性あり。",hard
57,在宅ライティング💻,@remote_write,2日前,"スマホ・PCで記事作成📝  
完全在宅🏠  
報酬は1文字2円💰  
LINE質問受付あり📱","#在宅 #副業",×,"LINEで質問受ける点が少し危険。報酬は現実的で迷う構成。",hard
58,日払い清掃スタッフ🧹,@daily_cleanjob,6時間前,"時給1100円💵  
即日現金手渡し🙌  
応募は電話☎️のみ  
面接あり📝","#清掃 #日払い",〇,"面接あり＋電話のみで安全。ただし即日現金は少し注意要素あり。",hard
59,夜間データ入力🌙,@night_data,1時間前,"23時〜5時限定⏰  
完全在宅OK🏠  
1件1000円💰  
応募はDM📩のみ","#在宅 #夜勤",×,"夜間＋DMのみ＋高報酬でリスク高め。安全か迷う案件。",hard
60,学生限定副業🎓,@student_sidejob,3日前,"大学生歓迎📚  
週1〜OK✨  
時給1200円💵  
LINEで質問受付📱","#学生 #副業",〇,"LINE対応ありだが応募方法が明確で比較的安全。迷うポイントあり。",hard
61,在宅翻訳ワーク🌍,@home_translate,2時間前,"英語→日本語の翻訳📖  
完全在宅🏠  
1件1000円💰  
応募はGoogleフォームのみ📝","#在宅 #副業",×,"フォームのみ応募で個人情報リスクあり。報酬は現実的だが怪しい要素あり。",hard
62,高額アンケート回答💸,@survey_highpay,1日前,"アンケート1件で3000円💰  
スマホ完結📱  
面接不要🙅‍♀️  
LINEで詳細案内📩","#副業 #在宅",×,"高額報酬＋面接なし＋LINEで詳細は危険信号。迷う案件。",hard
63,公式カフェスタッフ☕️,@official_cafe,3日前,"面接あり📝  
制服貸与👕  
交通費支給🚎  
応募は公式サイト📱","#バイト #安心",〇,"公式サイト＋面接ありで安全。ただし初心者は迷う可能性あり。",hard
64,夜間清掃スタッフ🧹,@night_cleaning,1時間前,"23時〜4時限定🌙  
時給1200円💵  
応募は電話☎️  
面接あり📝","#夜勤 #清掃",〇,"面接あり＋公式応募で比較的安全。ただし夜間勤務は少し注意。",hard
65,短期配送ワーク🚚,@short_delivery,5時間前,"軽貨物運送📦  
週末のみ📅  
時給1300円💵  
応募は公式HP📱","#短期 #配送",〇,"公式ルートで安全。ただし短期・週末のみで注意要素あり。",hard
66,在宅レビューライター💻,@review_writer,2日前,"スマホで商品レビューを書く📝  
完全在宅🏠  
報酬は1件500円💰  
LINEで質問対応📱","#在宅 #副業",×,"LINEで質問対応がある点が少し怪しい。報酬は現実的。",hard
67,日払いイベントスタッフ🎪,@daily_eventjob,3時間前,"時給1200円💵  
即日現金手渡し🙌  
応募は電話☎️のみ  
研修あり📘","#イベント #日払い",〇,"研修あり＋電話応募で安全。ただし日払いは注意。",hard
68,夜間データチェック🌙,@night_check,1日前,"23時〜6時限定⏰  
簡単データチェック💻  
報酬1件800円💰  
応募はDM📩のみ","#夜勤 #在宅",×,"夜間＋DMのみ＋報酬が高めで怪しい要素。迷う案件。",hard
69,学生限定短期副業🎓,@student_quickjob,2日前,"大学生歓迎📚  
週1〜OK✨  
時給1200円💵  
LINEで質問対応📱","#学生 #短期",〇,"応募方法が明確で安全。ただしLINE対応が迷うポイント。",hard
70,高額夜間配送ワーク🚛,@night_delivery,6時間前,"23時〜3時限定🌙  
軽貨物配送📦  
報酬1日3万円💰  
面接なし🙅‍♂️  
LINEで応募📩","#夜勤 #高額",×,"夜間＋高額報酬＋面接なし＋LINE応募は典型的な危険案件。",hard
71,深夜オンライン受付🌙,@midnight_online,1時間前,"23時〜5時限定⏰  
オンライン受付📱  
報酬1件1000円💰  
応募はLINEのみ📩","#夜勤 #在宅",×,"夜間＋LINE応募＋高報酬は要注意案件。",hard
72,即金データ入力💻,@quick_data_entry,2日前,"1件500円💵  
スマホで完結📱  
面接なし🙅‍♀️  
LINEで詳細案内📩","#副業 #即金",×,"面接なし＋LINE誘導でリスクあり。",hard
73,高額短期アンケート💸,@highpay_survey,3時間前,"1件3000円💰  
スマホ完結📱  
即日報酬🙌  
LINE応募📩","#在宅 #副業",×,"高額＋LINE応募＋即日報酬は危険信号。",hard
74,公式カフェ清掃スタッフ☕️,@official_cleaning,2日前,"面接あり📝  
制服貸与👕  
交通費支給🚎  
応募は公式サイト📱","#カフェ #安心",〇,"公式ルート＋面接ありで比較的安全。",hard
75,夜間軽作業🌙,@night_lightwork,1時間前,"22時〜4時限定⏰  
軽作業🛠️  
時給1200円💵  
応募は電話☎️","#夜勤 #軽作業",〇,"面接あり・公式応募で比較的安全だが夜間注意。",hard
76,在宅ライティングワーク💻,@home_writer,2日前,"スマホで記事作成📝  
1件800円💰  
応募はGoogleフォーム📩","#在宅 #副業",×,"フォームのみ応募は個人情報リスクあり。",hard
77,日払いイベント搬入🎪,@daily_eventload,3時間前,"時給1200円💵  
即日現金手渡し🙌  
応募は電話☎️のみ  
研修あり📘","#イベント #日払い",〇,"研修あり＋電話応募で安全。日払いは要注意。",hard
78,夜間データチェック2🌙,@night_check2,1日前,"23時〜6時限定⏰  
簡単データ入力💻  
報酬1件900円💰  
LINE応募📩","#夜勤 #在宅",×,"夜間＋LINEのみ＋報酬高めで迷う案件。",hard
79,学生限定高額バイト🎓,@student_highpay,2日前,"大学生歓迎📚  
週1〜OK✨  
時給1300円💵  
LINEで質問対応📱","#学生 #短期",〇,"応募は明確だがLINE対応が迷うポイント。",hard
80,高額夜間配達ワーク🚛,@night_delivery2,6時間前,"23時〜3時限定🌙  
軽貨物配送📦  
報酬1日3.5万円💰  
面接なし🙅‍♂️  
LINE応募📩","#夜勤 #高額",×,"夜間＋高額報酬＋面接なし＋LINE応募は危険案件。",hard
81,在宅レビュー2💻,@review2,1日前,"スマホで商品レビュー📝  
1件600円💰  
応募はLINE📱のみ","#在宅 #副業",×,"LINE応募のみ＋報酬は怪しいポイント。",hard
82,深夜短期搬入🌙,@night_load2,2日前,"22時〜5時限定⏰  
イベント搬入🛠️  
時給1300円💵  
応募は電話☎️","#夜勤 #短期",〇,"公式電話応募で安全だが夜間勤務注意。",hard
83,即金翻訳ワーク🌍,@quick_translate,3時間前,"英語→日本語翻訳📖  
1件1000円💰  
応募はLINEのみ📩","#在宅 #即金",×,"LINE応募＋高額報酬はリスク大。",hard
84,公式カフェ清掃2☕️,@official_cleaning2,2日前,"面接あり📝  
制服貸与👕  
交通費支給🚎  
応募は公式サイト📱","#カフェ #安心",〇,"公式応募＋面接ありで比較的安全。",hard
85,夜間軽作業2🌙,@night_lightwork2,1時間前,"22時〜4時限定⏰  
軽作業🛠️  
時給1250円💵  
応募は電話☎️","#夜勤 #軽作業",〇,"面接あり＋公式応募で比較的安全。",hard
86,在宅ライティング2💻,@home_writer2,2日前,"スマホで記事作成📝  
1件900円💰  
応募はGoogleフォーム📩","#在宅 #副業",×,"フォームのみ応募は個人情報リスク。",hard
87,日払いイベント搬入2🎪,@daily_eventload2,3時間前,"時給1250円💵  
即日現金手渡し🙌  
応募は電話☎️のみ  
研修あり📘","#イベント #日払い",〇,"研修あり＋電話応募で安全。日払い注意。",hard
88,夜間データチェック3🌙,@night_check3,1日前,"23時〜6時限定⏰  
簡単データ入力💻  
報酬1件1000円💰  
LINE応募📩","#夜勤 #在宅",×,"夜間＋LINEのみ＋高報酬で迷う案件。",hard
89,学生限定高額バイト2🎓,@student_highpay2,2日前,"大学生歓迎📚  
週1〜OK✨  
時給1350円💵  
LINEで質問対応📱","#学生 #短期",〇,"応募明確だがLINE対応が迷うポイント。",hard
90,高額夜間配達ワーク2🚛,@night_delivery3,6時間前,"23時〜3時限定🌙  
軽貨物配送📦  
報酬1日4万円💰  
面接なし🙅‍♂️  
LINE応募📩","#夜勤 #高額",×,"夜間＋高額報酬＋面接なし＋LINE応募は危険。",hard
91,深夜オンライン受付2🌙,@midnight_online2,1時間前,"23時〜5時限定⏰  
オンライン受付📱  
報酬1件1100円💰  
応募はLINEのみ📩","#夜勤 #在宅",×,"夜間＋LINE応募＋高報酬で要注意。",hard
92,即金データ入力2💻,@quick_data_entry2,2日前,"1件600円💵  
スマホで完結📱  
面接なし🙅‍♀️  
LINEで詳細案内📩","#副業 #即金",×,"面接なし＋LINE誘導でリスクあり。",hard
93,高額短期アンケート2💸,@highpay_survey2,3時間前,"1件3500円💰  
スマホ完結📱  
即日報酬🙌  
LINE応募📩","#在宅 #副業",×,"高額＋LINE応募＋即日報酬は危険信号。",hard
94,公式カフェ清掃3☕️,@official_cleaning3,2日前,"面接あり📝  
制服貸与👕  
交通費支給🚎  
応募は公式サイト📱","#カフェ #安心",〇,"公式ルート＋面接ありで安全。",hard
95,夜間軽作業3🌙,@night_lightwork3,1時間前,"22時〜4時限定⏰  
軽作業🛠️  
時給1300円💵  
応募は電話☎️","#夜勤 #軽作業",〇,"面接あり＋公式応募で安全。",hard
96,在宅ライティング3💻,@home_writer3,2日前,"スマホで記事作成📝  
1件1000円💰  
応募はGoogleフォーム📩","#在宅 #副業",×,"フォームのみ応募は個人情報リスク。",hard
97,日払いイベント搬入3🎪,@daily_eventload3,3時間前,"時給1300円💵  
即日現金手渡し🙌  
応募は電話☎️のみ  
研修あり📘","#イベント #日払い",〇,"研修あり＋電話応募で安全。日払い注意。",hard
98,夜間データチェック4🌙,@night_check4,1日前,"23時〜6時限定⏰  
簡単データ入力💻  
報酬1件1100円💰  
LINE応募📩","#夜勤 #在宅",×,"夜間＋LINE応募＋高報酬で迷う案件。",hard
99,学生限定高額バイト3🎓,@student_highpay3,2日前,"大学生歓迎📚  
週1〜OK✨  
時給1400円💵  
LINEで質問対応📱","#学生 #短期",〇,"応募明確だがLINE対応が迷うポイント。",hard
100,高額夜間配達ワーク3🚛,@night_delivery4,6時間前,"23時〜3時限定🌙  
軽貨物配送📦  
報酬1日4.5万円💰  
面接なし🙅‍♂️  
LINE応募📩","#夜勤 #高額",×,"夜間＋高額報酬＋面接なし＋LINE応募は危険案件。",hard


